nome_repo,n_estrelas,d_criacao,d_atualizacao,n_releases,linguagem,n_issues,n_issues_fechadas,n_pull_requests
v2ray/v2ray-core,43000,2015-09-04T11:42:53Z,2023-08-22T20:32:09Z,247,Go,2536,2519,5389
JuliaLang/julia,42992,2011-04-21T07:01:50Z,2023-08-22T21:26:09Z,144,Julia,23503,19720,55080
aymericdamien/TensorFlow-Examples,42905,2015-11-11T14:21:19Z,2023-08-23T00:04:24Z,0,Jupyter Notebook,231,69,250
PlexPt/awesome-chatgpt-prompts-zh,42881,2022-12-12T01:55:03Z,2023-08-22T22:49:27Z,0,,87,53,160
ColorlibHQ/AdminLTE,42854,2013-12-25T02:52:40Z,2023-08-22T20:25:53Z,72,Astro,2783,2701,2498
sherlock-project/sherlock,42852,2018-12-24T14:30:48Z,2023-08-22T23:49:19Z,0,Python,814,734,2097
gogs/gogs,42786,2014-02-12T01:57:08Z,2023-08-22T20:38:07Z,78,Go,5014,4176,5926
karan/Projects,42752,2013-07-04T13:37:27Z,2023-08-22T21:20:22Z,0,,71,32,182
sharkdp/bat,42611,2018-04-21T10:52:23Z,2023-08-22T21:10:43Z,39,Rust,1245,1039,2648
parcel-bundler/parcel,42608,2017-08-07T16:36:47Z,2023-08-22T20:19:52Z,29,JavaScript,5130,4484,2980
jestjs/jest,42546,2013-12-10T00:18:04Z,2023-08-22T17:52:55Z,194,TypeScript,7484,7101,6885
babel/babel,42474,2014-09-28T13:38:23Z,2023-08-22T21:57:15Z,360,TypeScript,8566,7922,15944
nektos/act,42334,2019-01-02T19:53:43Z,2023-08-23T00:12:01Z,57,Go,950,795,982
jgraph/drawio-desktop,42294,2017-05-25T20:58:42Z,2023-08-22T23:42:46Z,114,JavaScript,1188,1035,667
astaxie/build-web-application-with-golang,42261,2012-08-02T11:49:35Z,2023-08-22T23:54:41Z,0,Go,296,182,5178
FiloSottile/mkcert,42247,2018-06-25T05:33:03Z,2023-08-22T21:17:55Z,14,Go,327,231,164
tiimgreen/github-cheat-sheet,42102,2014-04-12T16:38:42Z,2023-08-23T00:12:38Z,0,,62,45,506
iperov/DeepFaceLab,42089,2018-06-04T13:10:00Z,2023-08-22T23:41:05Z,2,Python,1322,792,1313
typescript-cheatsheets/react,41974,2018-06-02T04:08:16Z,2023-08-22T23:33:07Z,0,JavaScript,191,189,1012
